phantom5test1_insertion_0,482,368
phantom5test1_zero_0,487,368
phantom5test1_retraction_0,485,373
phantom5test2_insertion_0,456,370
phantom5test2_zero_0,456,361
phantom5test2_retraction_0,454,374
phantom5test3_insertion_0,476,381
phantom5test3_zero_0,479,378
phantom5test3_retraction_0,477,385
phantom5test4_insertion_0,470,420
phantom5test4_zero_0,474,413
phantom5test4_retraction_0,476,420
phantom5test5_insertion_0,455,422
phantom5test5_zero_0,462,415
phantom5test5_retraction_0,461,418
