phantom3test1_insertion_0,364,349
phantom3test1_zero_0,380,344
phantom3test1_retraction_0,390,376
phantom3test2_insertion_0,348,298
phantom3test2_zero_0,368,287
phantom3test2_retraction_0,405,436
phantom3test3_insertion_0,359,366
phantom3test3_zero_0,381,361
phantom3test3_retraction_0,381,365
phantom3test4_insertion_0,381,370
phantom3test4_zero_0,390,366
phantom3test4_retraction_0,400,410
phantom3test5_insertion_0,376,371
phantom3test5_zero_0,390,364
phantom3test5_retraction_0,392,392
