
phantom6test1_insertion_1,473,390
phantom6test1_zeroing_1,476,388
phantom6test1_retraction_1,0,0
phantom6test1_retraction_1,551,1508
phantom6test1_retraction_1,476,401
phantom6test2_insertion_0,430,453
phantom6test2_zeroing_0,440,453
phantom6test2_retraction_0,444,461
phantom6test3_insertion_0,486,472
phantom6test3_zeroing_0,492,468
phantom6test3_retraction_0,493,476
phantom6test4_insertion_0,430,541
phantom6test4_zeroing_0,434,541
phantom6test4_retraction_0,428,543
phantom6test5_insertion_0,474,534
phantom6test5_zeroing_0,477,533
phantom6test5_retraction_0,476,544
